"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Get exercises","LMS service","Sat May 02 11:10:07 UTC 2026","passed","Sat May 02 11:10:08 UTC 2026","Get entities","Exercises","",""
"","12","Get user me","LMS service","Sat May 02 11:10:12 UTC 2026","passed","Sat May 02 11:10:12 UTC 2026","Get entity","Users","",""
"","32","Get courses","LMS service","Sat May 02 11:10:04 UTC 2026","passed","Sat May 02 11:10:04 UTC 2026","Get entities","Courses","",""
"","561","Create user","LMS service","Sat May 02 11:10:11 UTC 2026","passed","Sat May 02 11:10:12 UTC 2026","Create entity","Users","",""
"","19","Delete exercise","LMS service","Sat May 02 11:10:07 UTC 2026","passed","Sat May 02 11:10:07 UTC 2026","Delete entity","Exercises","",""
"","294","Update exercise","LMS service","Sat May 02 11:10:06 UTC 2026","passed","Sat May 02 11:10:06 UTC 2026","Update entity","Exercises","",""
"","23","Get exercise","LMS service","Sat May 02 11:10:06 UTC 2026","passed","Sat May 02 11:10:06 UTC 2026","Get entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Sat May 02 11:10:11 UTC 2026","passed","Sat May 02 11:10:11 UTC 2026","Validate entity","Files","",""
"","264","Create file","LMS service","Sat May 02 11:10:08 UTC 2026","passed","Sat May 02 11:10:08 UTC 2026","Create entity","Files","",""
"","554","Login with correct credentials","LMS service","Sat May 02 11:10:03 UTC 2026","passed","Sat May 02 11:10:03 UTC 2026","Login","Authentication","",""
"","14","Get file","LMS service","Sat May 02 11:10:09 UTC 2026","passed","Sat May 02 11:10:09 UTC 2026","Get entity","Files","",""
"","19","Delete file","LMS service","Sat May 02 11:10:11 UTC 2026","passed","Sat May 02 11:10:11 UTC 2026","Delete entity","Files","",""
"","563","Create user","LMS service","Sat May 02 11:10:11 UTC 2026","passed","Sat May 02 11:10:12 UTC 2026","Create entity","Users","",""
"","31","Create course","LMS service","Sat May 02 11:10:05 UTC 2026","passed","Sat May 02 11:10:05 UTC 2026","Create entity","Courses","",""
"","539","Create user","LMS service","Sat May 02 11:10:11 UTC 2026","passed","Sat May 02 11:10:11 UTC 2026","Create entity","Users","",""
"","269","Create file with empty filename","LMS service","Sat May 02 11:10:09 UTC 2026","passed","Sat May 02 11:10:09 UTC 2026","Validate entity","Files","",""
"","25","Create exercise","LMS service","Sat May 02 11:10:05 UTC 2026","passed","Sat May 02 11:10:05 UTC 2026","Create entity","Exercises","",""
"","268","Create file with empty directory","LMS service","Sat May 02 11:10:10 UTC 2026","passed","Sat May 02 11:10:10 UTC 2026","Validate entity","Files","",""
"","311","Update course","LMS service","Sat May 02 11:10:03 UTC 2026","passed","Sat May 02 11:10:03 UTC 2026","Update entity","Courses","",""
